#,名前,値段,1h %,24時間 %推移,7d %,時価総額,取引高(24時間),循環サプライ,bairitu,fixd_jika(US$)
1,Bitcoin BTC,43829.23,0.06%,2.28%,3.57%,"$858,623,426,294","$34,673,494,427 792,032 BTC",19590200.0,1.0,43829
2,Ethereum ETH,2255.81,0.03%,1.37%,3.42%,"$271,122,658,561","$11,487,601,205 5,091,742 ETH",120184229.0,6.1,13839
3,Tether USDt USDT,1.0,0.01%,0.00%,0.02%,"$92,880,188,840","$57,849,733,158 57,805,910,637 USDT",92808320416.0,4737.5,4737
4,BNB BNB,318.05,0.40%,0.19%,0.62%,"$48,245,447,790","$1,389,453,958 4,365,487 BNB",151692187.0,7.7,2462
5,Solana SOL,101.34,0.31%,2.17%,3.82%,"$43,692,033,443","$3,402,322,245 33,557,424 SOL",429898519.0,21.9,2223
6,XRP XRP,0.5749,0.18%,0.33%,8.27%,"$31,114,436,078","$1,497,126,009 2,606,378,480 XRP",54125149173.0,2762.9,1588
7,USDC USDC,1.0,0.00%,0.00%,0.05%,"$25,130,813,544","$3.58B 3,587,637,528 USDC",24497381876.0,1250.5,1250
8,Cardano ADA,0.554,0.51%,0.75%,9.34%,"$19,599,446,973","$415,469,800 749,370,785 ADA",35366457921.0,1805.3,1000
9,Avalanche AVAX,37.1,0.97%,0.93%,8.95%,"$13,598,319,341","$580,780,187 15,646,299 AVAX",365466280.0,18.7,692
10,Dogecoin DOGE,0.08301,0.44%,0.55%,9.38%,"$11,831,573,640","$263,725,363 3,175,624,992 DOGE",142466846384.0,7272.4,603
